Q,clip,W,D,snr_db,ber,n_errors,n_bits,ci_low,ci_high
4,3.0,10,64,5.0,5.414088567097982e-07,109,201326592,3.3559223882468485e-07,7.472254745949116e-07
4,3.0,10,64,5.5,8.940696716308594e-08,18,201326592,9.127362032176137e-09,1.6968657229399575e-07
5,1.5,10,24,4.0,8.022785186767578e-05,2692,33554432,7.388821871214195e-05,8.656748502320961e-05
5,1.5,10,24,4.5,1.3768672943115234e-05,924,67108864,1.2125571179051242e-05,1.5411774707179225e-05
5,1.5,10,24,5.0,2.3593505223592124e-06,475,201326592,1.946786497775231e-06,2.7719145469431938e-06
5,1.5,10,24,5.5,2.384185791015625e-07,48,201326592,1.1760941770873974e-07,3.5922774049438526e-07
5,1.5,10,32,4.0,3.9577484130859375e-05,1328,33554432,3.466652186157916e-05,4.448844640013959e-05
5,1.5,10,32,4.5,6.571412086486816e-06,441,67108864,5.2052369494704114e-06,7.93758722350322e-06
5,1.5,10,32,5.0,1.1175870895385742e-06,225,201326592,8.25078933381047e-07,1.4100952456961015e-06
5,1.5,10,32,5.5,4.967053731282552e-08,10,201326592,0.0,1.0968348042336426e-07
5,1.5,10,48,4.0,3.635883331298828e-05,1220,33554432,3.137599964356972e-05,4.134166698240684e-05
5,1.5,10,48,4.5,5.4140885670979815e-06,545,100663296,4.406482723736281e-06,6.421694410459682e-06
5,1.5,10,48,5.0,8.294979731241862e-07,167,201326592,5.564089415576045e-07,1.1025870046907678e-06
5,1.5,10,48,5.5,7.947285970052083e-08,16,201326592,6.620269330858916e-09,1.5232545007018274e-07
5,1.5,10,64,4.0,3.185868263244629e-05,1069,33554432,2.7485810878519873e-05,3.6231554386372705e-05
5,1.5,10,64,4.5,5.910793940226237e-06,595,100663296,4.8573096354912016e-06,6.964278244961273e-06
5,1.5,10,64,5.0,8.99036725362142e-07,181,201326592,6.252587378154072e-07,1.1728147129088768e-06
5,1.5,10,64,5.5,1.8874804178873697e-07,38,201326592,6.331831678464399e-08,3.1417776679282995e-07
5,2.0,8,32,2.0,0.3425741195678711,11494880,33554432,0.3421749104086403,0.3429733287271019
5,2.0,8,32,3.0,0.41346701979637146,13873651,33554432,0.41309984086019497,0.41383419873254795
5,2.0,8,32,4.0,0.48701485991477966,16341507,33554432,0.4866984887763272,0.4873312310532321
5,2.0,8,32,5.0,0.5444441735744476,18268515,33554432,0.5441822501301887,0.5447060970187065
5,2.0,8,32,6.0,0.5847087204456329,19619569,33554432,0.5844821837044268,0.584935257186839
5,2.0,8,32,7.0,0.6124613881111145,20550794,33554432,0.6122564472091414,0.6126663290130876
5,2.0,10,24,4.0,5.751848220825195e-05,1930,33554432,5.215196664211567e-05,6.288499777438823e-05
5,2.0,10,24,4.5,1.0207295417785645e-05,685,67108864,8.755218263913098e-06,1.1659372571658191e-05
5,2.0,10,24,5.0,1.629193623860677e-06,328,201326592,1.2790620093322255e-06,1.9793252383891287e-06
5,2.0,10,24,5.5,1.5894571940104166e-07,32,201326592,7.187204136000075e-08,2.4601939744208255e-07
5,2.0,10,32,4.0,2.4765729904174805e-05,831,33554432,2.0859479327990817e-05,2.8671980480358793e-05
5,2.0,10,32,4.5,3.7550926208496094e-06,504,134217728,3.0691990955600336e-06,4.440986146139185e-06
